external_id__c,name
160279,"18th century"
210184,"1910s"
208992,"1960s"
1228,"1970s"
208289,"1980s"
207928,"19th century"
209714,"3d"
219404,"action hero"
208314,"action heroine"
210313,"action"
186846,"adaptation"
2393,"adoption"
161919,"adult animation"
596,"adultery"
4414,"adventure"
175428,"adventurer"
5920,"advertising expert"
5608,"affection"
409,"africa"
179430,"aftercreditsstinger"
6155,"afterlife"
965,"age difference"
209756,"agent coulson"
13152,"air"
3800,"airplane"
567,"alcohol"
33457,"alcoholic"
7464,"alcoholism"
5127,"alexander the great"
12552,"alice in wonderland"
12553,"alien abduction"
197194,"alien friendship"
15250,"alien infection"
14909,"alien invasion"
4939,"alien phenomenons"
10158,"alien planet"
163252,"alien race"
9951,"alien"
7368,"alienation"
5740,"alliance"
6511,"alone"
12026,"alternate history"
156282,"alternate reality"
1704,"ambassador"
502,"ambush"
194476,"amelia earhart"
174019,"american president"
1453,"amnesia"
155582,"amusement park"
15036,"ancient china"
157894,"ancient egypt"
162861,"ancient greece"
14704,"ancient world"
189119,"ancient"
18047,"anger"
160274,"angry mob"
200918,"angry"
158130,"animal attack"
157164,"animal death"
223059,"animal horror"
230873,"animal lead"
234183,"animal sidekick"
18165,"animal"
10336,"animation"
12446,"another dimension"
11500,"anthropomorphism"
2095,"anti hero"
9676,"anti matter"
165431,"anti war"
14759,"ape"
12332,"apocalypse"
10164,"apparition"
193201,"apprendista"
4488,"apprentice"
10547,"arcade"
41586,"archaeologist"
184134,"archeology\u00a0"
4393,"archer"
53995,"archery"
1395,"arena"
166457,"ares"
347,"aristotle"
230910,"ark"
160856,"armada"
14587,"armadillo"
12654,"armageddon"
2001,"arms deal"
6163,"arms dealer"
6092,"army"
5638,"arrest"
15478,"art gallery"
9854,"artifact"
310,"artificial intelligence"
209818,"asgard"
782,"assassin"
441,"assassination"
6093,"assault"
1423,"asteroid"
14626,"astronaut"
160331,"astrophysics"
1913,"atlantic ocean"
10563,"attack"
5657,"australia"
1201,"austria"
8574,"auto-tuning"
236778,"autocracy"
14545,"automaton"
159953,"automobile racing"
13002,"avatar"
235972,"awful leader"
5812,"bad boss"
2283,"ball"
9903,"balloon"
5149,"banishment"
157296,"bankruptcy"
5462,"barbie"
160887,"based on board game"
10244,"based on cartoon"
15101,"based on children's book"
9717,"based on comic book"
179411,"based on fairy tale"
162862,"based on greek myth"
818,"based on novel"
10542,"based on toy"
185722,"based on true events"
9672,"based on true story"
10988,"based on tv series"
41645,"based on video game"
223438,"based on young adult novel"
230775,"batman"
3994,"battle assignment"
14643,"battle"
10141,"battlefield"
160860,"battleship"
6603,"baustelle"
158175,"bear attack"
10468,"bear"
33678,"beard"
227863,"bearer bonds"
161271,"beast"
3258,"beauty"
2042,"beaver"
4247,"beehive"
9995,"bell"
3695,"berkeley"
220,"berlin"
12392,"best friend"
10085,"betrayal"
3036,"bible"
41188,"bilbao spain"
4380,"black hole"
4252,"black magic"
2583,"blackout"
1318,"blacksmith"
222423,"blast"
155658,"blonde woman"
11221,"blood"
185629,"bloodsucker"
6271,"boarding school"
3088,"bodyguard"
910,"bondage"
163841,"booby trap"
3096,"book"
18101,"bow and arrow"
2792,"boxer"
33353,"boy genius"
5202,"boy"
3930,"bravery"
156095,"british secret service"
6731,"british"
17992,"broken arm"
12648,"bromance"
235616,"bronze age"
41523,"brooklyn new york city"
3872,"broom"
12653,"brother against brother"
380,"brother brother relationship"
1155,"brother sister relationship"
202816,"bruce banner"
195243,"bruce wayne"
167316,"buddy cop"
6733,"bullying"
160873,"buoy"
1437,"burglar"
189108,"buried treasure"
14571,"cactus"
387,"california"
5941,"calypso"
3072,"campaign"
985,"candy"
14895,"cannibal"
155530,"capsized ship"
173775,"captain america"
1316,"captain"
156702,"capture"
235625,"capuchin monkey"
15483,"car chase"
830,"car race"
33885,"car"
1317,"card game"
185863,"carefree"
